date,threshold_value
2023-09-01,0.00013385796003848987
2023-09-02,3.5159775531636765e-06
2023-09-03,6.252042177968578e-05
2023-09-04,2.2084582037163628e-05
2023-09-05,9.145598143125392e-06
2023-09-06,0.00010428289056806867
2023-09-07,4.626978473382483e-06
2023-09-08,1.1740850990163622e-05
2023-09-09,-1.8222577749177265e-05
2023-09-10,3.920293509174471e-05
2023-09-11,3.103024966830292e-05
2023-09-12,4.2591473789106315e-05
2023-09-13,2.8194376683161803e-05
2023-09-14,4.901090293084849e-06
2023-09-15,-1.523974897613952e-05
2023-09-16,3.660280754185977e-06
2023-09-17,1.9359785792111127e-05
2023-09-18,6.033994022936464e-05
2023-09-19,6.754455466229166e-05
2023-09-20,5.595437826277019e-06
2023-09-21,6.305045477807279e-06
2023-09-22,5.552790360510177e-05
2023-09-23,7.114803721093505e-05
2023-09-24,5.9106086819044155e-05
2023-09-25,4.581391844429127e-05
2023-09-26,4.368006934245963e-05
2023-09-27,2.9515923784478303e-05
2023-09-28,2.3032341890347795e-05
2023-09-29,6.657989451449054e-05
